Rnd,Pick,Player,Pos,AP1,PB,College/Univ,-9999
1,1,Jared Goff,QB,0,3,California,GoffJa00
1,2,Carson Wentz,QB,0,1,North Dakota St.,WentCa00
1,3,Joey Bosa,DE,0,4,Ohio St.,BosaJo00
1,4,Ezekiel Elliott,RB,1,3,Ohio St.,ElliEz00
1,5,Jalen Ramsey,CB,3,6,Florida St.,RamsJa00
1,6,Ronnie Stanley,T,1,1,Notre Dame,StanRo00
1,7,DeForest Buckner,DE,1,2,Oregon,BuckDe00
1,8,Jack Conklin,T,2,0,Michigan St.,ConkJa00
1,9,Leonard Floyd,OLB,0,0,Georgia,FloyLe00
1,10,Eli Apple,CB,0,0,Ohio St.,ApplEl00
1,11,Vernon Hargreaves III,CB,0,0,Florida,HargVe00
1,12,Sheldon Rankins,DT,0,0,Louisville,RankSh00
1,13,Laremy Tunsil,T,0,3,Mississippi,TunsLa00
1,14,Karl Joseph,S,0,0,West Virginia,JoseKa00
1,15,Corey Coleman,WR,0,0,Baylor,ColeCo00
1,16,Taylor Decker,T,0,0,Ohio St.,DeckTa00
1,17,Keanu Neal,S,0,1,Florida,NealKe01
1,18,Ryan Kelly,C,0,3,Alabama,KellRy00
1,19,Shaq Lawson,DE,0,0,Clemson,LawsSh00
1,20,Darron Lee,OLB,0,0,Ohio St.,LeexDa00
1,21,Will Fuller,WR,0,0,Notre Dame,FullWi01
1,22,Josh Doctson,WR,0,0,TCU,DoctJo00
1,23,Laquon Treadwell,WR,0,0,Mississippi,TreaLa00
1,24,William Jackson III,CB,0,0,Houston,JackWi02
1,25,Artie Burns,CB,0,0,Miami (FL),BurnAr00
1,26,Paxton Lynch,QB,0,0,Memphis,LyncPa00
1,27,Kenny Clark,DT,0,2,UCLA,ClarKe01
1,28,Joshua Garnett,G,0,0,Stanford,GarnJo00
1,29,Robert Nkemdiche,DT,0,0,Mississippi,NkemRo00
1,30,Vernon Butler,DT,0,0,Louisiana Tech,ButlVe00
1,31,Germain Ifedi,G,0,0,Texas A&M,IfedGe00
2,32,Emmanuel Ogbah,DE,0,0,Oklahoma St.,OgbaEm00
2,33,Kevin Dodd,DE,0,0,Clemson,DoddKe00
2,34,Jaylon Smith,OLB,0,1,Notre Dame,SmitJa05
2,35,Hunter Henry,TE,0,0,Arkansas,HenrHu00
2,36,Myles Jack,OLB,0,0,UCLA,JackMy00
2,37,Chris Jones,DT,1,4,Mississippi St.,JoneCh09
2,38,Xavien Howard,CB,1,4,Baylor,HowaXa00
2,39,Noah Spence,DE,0,0,East. Kentucky,SpenNo00
2,40,Sterling Shepard,WR,0,0,Oklahoma,ShepSt00
2,41,Reggie Ragland,ILB,0,0,Alabama,RaglRe00
2,42,Kamalei Correa,DE,0,0,Boise St.,CorrKa00
2,43,Austin Johnson,NT,0,0,Penn St.,JohnAu01
2,44,Jihad Ward,DE,0,0,Illinois,WardJi02
2,45,Derrick Henry,RB,1,3,Alabama,HenrDe00
2,46,A'Shawn Robinson,DT,0,0,Alabama,RobiAS00
2,47,Michael Thomas,WR,2,3,Ohio St.,ThomMi05
2,48,Jason Spriggs,T,0,0,Indiana,SpriJa00
2,49,Jarran Reed,DT,0,0,Alabama,ReedJa02
2,50,Nick Martin,G,0,0,Notre Dame,MartNi00
2,51,Christian Hackenberg,QB,0,0,Penn St.,HackCh01
2,52,Deion Jones,OLB,0,1,LSU,JoneDe01
2,53,Su'a Cravens,OLB,0,0,USC,CravSu00
2,54,Mackensie Alexander,CB,0,0,Clemson,AlexMa01
2,55,Tyler Boyd,WR,0,0,Pittsburgh,BoydTy00
2,56,Cody Whitehair,G,0,1,Kansas St.,WhitCo03
2,57,T.J. Green,S,0,0,Clemson,GreeT.00
2,58,Sean Davis,CB,0,0,Maryland,DaviSe00
2,59,Roberto Aguayo,K,0,0,Florida St.,AguaRo00
2,60,Cyrus Jones,CB,0,0,Alabama,JoneCy00
2,61,Vonn Bell,S,0,0,Ohio St.,BellVo00
2,62,James Bradberry,CB,0,1,Samford,BradJa00
2,63,Adam Gotsis,DT,0,0,Georgia Tech,GotsAd00
3,64,Kevin Byard,S,2,2,Middle Tenn. St.,ByarKe01
3,65,Carl Nassib,DE,0,0,Penn St.,NassCa00
3,66,Max Tuerk,C,0,0,USC,TuerMa00
3,67,Maliek Collins,DT,0,0,Nebraska,CollMa00
3,68,Will Redmond,CB,0,0,Mississippi St.,RedmWi00
3,69,Yannick Ngakoue,DE,0,1,Maryland,NgakYa00
3,70,Bronson Kaufusi,DE,0,0,BYU,KaufBr01
3,71,Darian Thompson,S,0,0,Boise St.,ThomDa05
3,72,Jonathan Bullard,DT,0,0,Florida,BullJo00
3,73,Kenyan Drake,RB,0,0,Alabama,DrakKe00
3,74,KeiVarae Russell,CB,0,0,Notre Dame,RussKe00
3,75,Shilique Calhoun,DE,0,0,Michigan St.,CalhSh00
3,76,Shon Coleman,T,0,0,Auburn,ColeSh00
3,77,Daryl Worley,CB,0,0,West Virginia,WorlDa00
3,78,Joe Thuney,G,0,1,North Carolina St.,ThunJo00
3,79,Isaac Seumalo,G,0,0,Oregon St.,SeumIs00
3,80,Adolphus Washington,DT,0,0,Ohio St.,WashAd00
3,81,Austin Hooper,TE,0,2,Stanford,HoopAu00
3,82,Le'Raven Clark,T,0,0,Texas Tech,ClarLe01
3,83,Jordan Jenkins,OLB,0,0,Georgia,JenkJo01
3,84,Kendall Fuller,CB,0,0,Virginia Tech,FullKe00
3,85,Braxton Miller,WR,0,0,Ohio St.,MillBr03
3,86,Leonte Carroo,WR,0,0,Rutgers,CarrLe00
3,87,Nick Vigil,ILB,0,0,Utah St.,VigiNi00
3,88,Kyler Fackrell,OLB,0,0,Utah St.,FackKy00
3,89,Javon Hargrave,DT,0,1,South Carolina St.,HargJa00
3,90,C.J. Prosise,RB,0,0,Notre Dame,ProsC.00
3,91,Jacoby Brissett,QB,0,0,North Carolina St.,BrisJa00
3,92,Brandon Williams,CB,0,0,Texas A&M,WillBr07
3,93,Cody Kessler,QB,0,0,USC,KessCo00
3,94,Nick Vannett,TE,0,0,Ohio St.,VannNi00
3,95,Graham Glasgow,C,0,0,Michigan,GlasGr00
3,96,Vincent Valentine,DT,0,0,Nebraska,ValeVi00
3,97,Rees Odhiambo,G,0,0,Boise St.,OdhiRe00
3,98,Justin Simmons,S,0,1,Boston Col.,SimmJu00
4,99,Joe Schobert,OLB,0,1,Wisconsin,SchoJo00
4,100,Connor Cook,QB,0,0,Michigan St.,CookCo00
4,101,Charles Tapper,DE,0,0,Oklahoma,TappCh00
4,102,Joshua Perry,ILB,0,0,Ohio St.,PerrJo01
4,103,Sheldon Day,DT,0,0,Notre Dame,DayxSh00
