Player,Pos,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Player-additional
Dante Pettis,WR,6-0,186,,,,,,,PettDa00
Kemoko Turay,EDGE,6-5,253,4.65,,,,,,TuraKe00
Josh Adams,RB,6-2,213,,,18,,,,AdamJo03
Ola Adeniyi,EDGE,6-2,248,4.83,31.5,26,,7.21,4.28,-9999
Jordan Akins,TE,6-3,249,,,,,,,AkinJo00
Jaire Alexander,CB,5-11,192,4.38,35.0,14,127,6.71,3.98,AlexJa00
Austin Allen,QB,6-0,210,4.81,29.5,,112,7.18,4.48,-9999
Brian Allen,C,6-1,298,5.34,26.5,27,99,7.81,4.71,AlleBr02
Josh Allen,QB,6-5,237,4.75,33.5,,119,6.90,4.40,AlleJo02
Marcus Allen,S,6-2,202,,37.0,15,127,,4.32,AlleMa03
Mark Andrews,TE,6-5,256,4.67,31.0,17,113,7.34,4.38,AndrMa00
Troy Apke,S,6-2,198,4.34,41.0,16,131,6.56,4.03,ApkeTr00
Dorance Armstrong,EDGE,6-4,257,4.87,30.0,20,118,7.12,4.23,ArmsDo00
Ade Aruna,DE,6-6,262,4.60,38.5,18,128,7.53,4.48,ArunAd00
Marcell Ateman,WR,6-4,216,4.62,34.0,13,121,7.07,4.25,AtemMa00
John Atkins,DT,6-4,321,5.38,24.0,,89,7.95,4.75,AtkiJo01
Anthony Averett,CB,6-0,185,4.36,31.5,13,119,6.93,4.40,AverAn00
Genard Avery,ILB,6-1,248,4.59,36.0,26,124,6.90,4.36,AverGe00
Mike Badgley,K,5-10,183,4.94,,,111,,,-9999
Jerome Baker,OLB,6-1,229,4.53,36.5,22,126,,,BakeJe00
Kalen Ballage,RB,6-1,228,4.46,33.5,15,122,6.91,4.35,BallKa00
Saquon Barkley,RB,6-0,233,4.40,41.0,29,,,4.24,BarkSa00
J.T. Barrett,QB,6-1,224,4.70,30.0,,108,7.38,4.44,BarrJ.00
Jessie Bates,S,6-2,195,4.50,35.5,,117,6.78,4.26,BateJe00
Marcus Baugh,TE,6-3,247,4.81,33.0,,117,7.28,4.51,BaugMa02
Nick Bawden,FB,6-2,245,,,,,,,BawdNi00
Davin Bellamy,EDGE,6-5,255,,,15,,,,BellDa01
Kurt Benkert,QB,6-3,218,4.95,31.0,16,112,7.15,4.33,BenkKu01
Braxton Berrios,WR,5-9,184,,,11,,,,BerrBr00
Keishawn Bierria,ILB,6-2,230,4.79,30.5,21,117,7.26,,BierKe00
Quin Blanding,S,6-2,215,4.63,31.5,,122,,,BlanQu01
David Bright,OT,6-5,307,,,,,,,BrigDa01
Drew Brown,K,5-10,208,,,,,,,-9999
Andrew Brown,DE,6-4,296,5.03,28.0,31,101,7.51,4.48,BrowAn05
Orlando Brown,OT,6-8,345,5.85,19.5,14,82,7.87,5.38,BrowOr00
Tony Brown,CB,6-0,198,4.35,31.5,14,126,6.78,4.11,BrowTo01
Equanimeous St. brown,WR,6-5,214,4.48,,20,,,,St.BEq00
Taven Bryan,DT,6-4,291,4.98,35.0,30,119,7.12,4.48,BryaTa00
Oren Burks,OLB,6-3,233,4.59,39.5,18,131,6.82,4.15,BurkOr00
Deontay Burnett,WR,6-0,186,,,,,,,BurnDe00
Jason Cabinda,ILB,6-1,239,,,19,,,,CabiJa00
Deon Cain,WR,6-2,202,4.43,33.5,11,115,6.71,4.37,CainDe00
Antonio Callaway,WR,5-11,200,4.41,34.0,,121,,,CallAn00
Chris Campbell,CB,6-1,194,,,14,,,,-9999
Dylan Cantrell,WR,6-3,226,4.59,38.5,18,130,6.56,4.03,CantDy00
Alex Cappa,OT,6-6,305,5.39,26.5,24,97,8.04,4.84,CappAl00
Tanner Carew,LS,6-1,243,5.00,30.0,18,111,7.26,4.28,-9999
Daniel Carlson,K,6-5,213,,,,,,,CarlDa00
Lorenzo Carter,EDGE,6-6,250,4.50,36.0,,130,,,CartLo01
Andre Chachere,CB,6-0,200,4.49,38.0,13,123,6.78,4.07,-9999
Sean Chandler,S,6-0,190,4.65,34.5,16,119,,4.62,ChanSe00
D.J. Chark,WR,6-3,199,4.34,40.0,16,129,,,CharDJ00
Geron Christian,OT,6-5,298,5.33,,19,,,,ChriGe01
Bradley Chubb,DE,6-4,269,4.65,36.0,24,121,7.37,4.41,ChubBr00
Nick Chubb,RB,5-11,227,4.52,38.5,29,128,7.09,4.25,ChubNi00
Jack Cichy,ILB,6-2,238,,,18,,,,CichJa00
Will Clapp,C,6-4,311,5.39,29.0,25,97,8.04,4.92,ClapWi00
Simmie Cobbs,WR,6-3,220,4.64,30.0,11,113,6.70,4.32,CobbSi00
Mason Cole,C,6-4,307,5.23,23.5,23,104,7.77,4.78,ColeMa02
Lavon Coleman,RB,5-11,215,4.65,33.0,23,120,,,ColeLa02
Tyler Conklin,TE,6-3,254,4.80,38.0,18,120,7.13,4.23,ConkTy00
Austin Corbett,OG,6-4,306,5.15,28.0,19,106,7.87,4.50,CorbAu00
Keke Coutee,WR,5-10,181,4.43,34.5,14,113,6.93,4.15,CoutKe00
Chris Covington,OLB,6-2,245,4.78,,23,,,,CoviCh01
Justin Crawford,RB,5-11,199,4.64,33.5,11,122,,,-9999
Tyrell Crosby,OT,6-5,309,5.23,30.0,17,105,7.89,4.77,CrosTy00
Dane Cruikshank,S,6-1,206,4.41,38.5,25,121,6.89,4.24,CruiDa00
Trevor Daniel,P,6-1,230,4.98,32.5,23,119,,,DaniTr00
James Daniels,C,6-3,306,,30.5,21,108,7.29,4.40,DaniJa01
Sam Darnold,QB,6-3,221,4.85,26.5,,105,6.96,4.40,DarnSa00
Marcus Davenport,DE,6-6,264,4.58,33.5,22,124,7.20,4.41,DaveMa00
Joseph Davidson,P,6-7,232,,,,,,,-9999
