Player,Pos_x,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Player-additional,Rnd,Pick,Tm,Pos_y,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,TD.1,Rec,Yds.2,TD.2,Solo,Int.1,Sk,-9999
Dante Pettis,WR,6-0,186,,,,,,,PettDa00,2,44,SFO,WR,22,2022.0,0,0,0,9.0,5.0,50.0,2.0,2.0,32.0,0.0,0.0,3.0,35.0,0.0,71.0,984.0,12.0,3.0,,,PettDa00
Kemoko Turay,EDGE,6-5,253,4.65,,,,,,TuraKe00,2,52,IND,OLB,23,2022.0,0,0,0,5.0,5.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,,12.0,TuraKe00
Jordan Akins,TE,6-3,249,,,,,,,AkinJo00,3,98,HOU,TE,26,2022.0,0,0,1,14.0,14.0,73.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,151.0,1755.0,8.0,1.0,,,AkinJo00
Jaire Alexander,CB,5-11,192,4.38,35.0,14.0,127.0,6.71,3.98,AlexJa00,1,18,GNB,CB,21,2022.0,0,2,4,30.0,30.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.0,10.0,1.5,AlexJa00
Brian Allen,C,6-1,298,5.34,26.5,27.0,99.0,7.81,4.71,AlleBr02,4,111,LAR,C,22,2022.0,0,0,2,16.0,16.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,AlleBr02
Josh Allen,QB,6-5,237,4.75,33.5,,119.0,6.9,4.4,AlleJo02,1,7,BUF,QB,22,2022.0,0,3,5,68.0,68.0,77.0,1604.0,2566.0,18397.0,138.0,60.0,546.0,3087.0,38.0,1.0,12.0,1.0,4.0,,,AlleJo02
Marcus Allen,S,6-2,202,,37.0,15.0,127.0,,4.32,AlleMa03,5,148,PIT,S,22,2022.0,0,0,0,6.0,6.0,48.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,34.0,,,AlleMa03
Mark Andrews,TE,6-5,256,4.67,31.0,17.0,113.0,7.34,4.38,AndrMa00,3,86,BAL,TE,23,2022.0,1,3,1,39.0,39.0,77.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,336.0,4313.0,34.0,5.0,,,AndrMa00
Troy Apke,S,6-2,198,4.34,41.0,16.0,131.0,6.56,4.03,ApkeTr00,4,109,WAS,S,23,2022.0,0,0,1,6.0,6.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,1.0,,ApkeTr00
Ade Aruna,DE,6-6,262,4.6,38.5,18.0,128.0,7.53,4.48,ArunAd00,6,218,MIN,DE,24,,0,0,0,,,,,,,,,,,,,,,,,,ArunAd00
Marcell Ateman,WR,6-4,216,4.62,34.0,13.0,121.0,7.07,4.25,AtemMa00,7,228,OAK,WR,23,2021.0,0,0,0,2.0,2.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,270.0,1.0,,,,AtemMa00
Anthony Averett,CB,6-0,185,4.36,31.5,13.0,119.0,6.93,4.4,AverAn00,4,118,BAL,CB,23,2022.0,0,0,1,11.0,10.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,3.0,,AverAn00
Genard Avery,ILB,6-1,248,4.59,36.0,26.0,124.0,6.9,4.36,AverGe00,5,150,CLE,LB,23,2022.0,0,0,2,11.0,4.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,,8.5,AverGe00
Jerome Baker,OLB,6-1,229,4.53,36.5,22.0,126.0,,,BakeJe00,3,73,MIA,OLB,21,2022.0,0,0,5,30.0,30.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.0,3.0,21.0,BakeJe00
Kalen Ballage,RB,6-1,228,4.46,33.5,15.0,122.0,6.91,4.35,BallKa00,4,131,MIA,RB,22,2021.0,0,0,1,6.0,3.0,52.0,0.0,0.0,0.0,0.0,0.0,213.0,665.0,7.0,54.0,293.0,0.0,4.0,,,BallKa00
Saquon Barkley,RB,6-0,233,4.4,41.0,29.0,,,4.24,BarkSa00,1,2,NYG,RB,21,2022.0,0,2,4,38.0,38.0,60.0,0.0,0.0,0.0,0.0,0.0,954.0,4249.0,29.0,247.0,1820.0,8.0,,,,BarkSa00
Nick Bawden,FB,6-2,245,,,,,,,BawdNi00,7,237,DET,RB,22,2021.0,0,0,0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,37.0,0.0,1.0,,,BawdNi00
Braxton Berrios,WR,5-9,184,,,11.0,,,,BerrBr00,6,210,NWE,WR,22,2022.0,1,0,0,10.0,,65.0,1.0,1.0,2.0,1.0,0.0,19.0,160.0,4.0,107.0,1085.0,5.0,1.0,,,BerrBr00
Keishawn Bierria,ILB,6-2,230,4.79,30.5,21.0,117.0,7.26,,BierKe00,6,217,DEN,ILB,23,2019.0,0,0,0,1.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,,BierKe00
Andrew Brown,DE,6-4,296,5.03,28.0,31.0,101.0,7.51,4.48,BrowAn05,5,158,CIN,DE,22,2022.0,0,0,0,2.0,2.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,,1.0,BrowAn05
Taven Bryan,DT,6-4,291,4.98,35.0,30.0,119.0,7.12,4.48,BryaTa00,1,29,JAX,DT,22,2022.0,0,0,3,16.0,10.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,,8.5,BryaTa00
