Player,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Player-additional,Rnd,Pick,Tm,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,TD.1,Rec,Yds.2,TD.2,Solo,Int.1,Sk,-9999
Johnathan Abram,5-11,205,4.45,,,116.0,,,AbraJo01,1,27,OAK,S,22,2022.0,0,0,2,11.0,10.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.0,3.0,,AbraJo01
Nasir Adderley,6-0,206,,,,,,,AddeNa00,2,60,LAC,S,22,2022.0,0,0,3,13.0,13.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.0,3.0,0.5,AddeNa00
Dakota Allen,6-1,232,4.77,31.5,23.0,116.0,6.88,4.04,AlleDa01,7,251,LAR,LB,23,2022.0,0,0,0,2.0,,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,,,AlleDa01
Josh Allen,6-5,262,4.63,,28.0,118.0,7.15,4.23,AlleJo03,1,7,JAX,LB,22,2022.0,0,1,3,23.0,23.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,1.0,27.5,AlleJo03
Zach Allen,6-4,281,5.0,32.0,24.0,112.0,7.34,4.36,AlleZa01,3,65,ARI,DE,22,2022.0,0,0,3,16.0,16.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,1.0,11.5,AlleZa01
Ugo Amadi,5-9,199,4.51,32.5,18.0,115.0,7.21,4.19,AmadUg00,4,132,SEA,S,22,2022.0,0,0,1,6.0,6.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,1.0,,AmadUg00
Rodney Anderson,6-0,224,,,25.0,,,,AndeRo02,6,211,CIN,RB,22,,0,0,0,,,,,,,,,,,,,,,,,,AndeRo02
Ryquell Armstead,5-11,220,4.45,30.0,22.0,114.0,7.02,4.29,ArmsRy00,5,140,JAX,RB,22,2021.0,0,0,0,2.0,2.0,18.0,0.0,0.0,0.0,0.0,0.0,50.0,188.0,0.0,17.0,160.0,2.0,1.0,,,ArmsRy00
Blessuan Austin,6-1,198,,,15.0,,,,AustBl00,6,196,NYJ,CB,23,2021.0,0,0,1,6.0,5.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,,,AustBl00
Jake Bailey,6-1,200,4.72,33.0,,117.0,,,BailJa00,5,163,NWE,P,22,2022.0,1,1,1,7.0,7.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,,,BailJa00
Deandre Baker,5-11,193,4.52,,14.0,118.0,,,BakeDe00,1,30,NYG,CB,22,2021.0,0,0,1,6.0,5.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,,1.0,BakeDe00
Corey Ballentine,5-11,196,4.47,39.5,15.0,135.0,6.82,4.14,BallCo00,6,180,NYG,CB,23,2022.0,0,0,0,2.0,2.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,,,BallCo00
Ben Banogu,6-3,250,4.62,40.0,23.0,134.0,7.02,4.27,BanoBe00,2,49,IND,LB,23,2022.0,0,0,0,4.0,4.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,,2.5,BanoBe00
Cody Barton,6-2,237,4.64,32.5,30.0,116.0,6.9,4.03,BartCo00,3,88,SEA,LB,22,2022.0,0,0,1,10.0,10.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,2.0,2.0,BartCo00
Jackson Barton,6-7,310,5.18,27.0,25.0,109.0,7.85,4.66,BartJa00,7,240,IND,T,24,2022.0,0,0,0,0.0,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,BartJa00
Terry Beckner,6-4,296,5.19,24.5,28.0,98.0,7.97,4.82,BeckTe00,7,215,TAM,DT,22,,0,0,0,,,,,,,,,,,,,,,,,,BeckTe00
