Player,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Player-additional
Trey Adams,6-8,318,5.60,24.5,,92,,,AdamTr01
Hakeem Adeniji,6-4,302,5.17,34.0,26,115,,,AdenHa00
McTelvin Agim,6-3,309,4.98,,27,,,,AgimMc00
Salvon Ahmed,5-11,197,4.62,34.5,,120,,,AhmeSa01
Brandon Aiyuk,6-0,205,4.50,40.0,11,128,,,AiyuBr00
Cam Akers,5-10,217,4.47,35.5,20,122,,4.42,AkerCa00
Bradlee Anae,6-3,257,4.93,31.0,25,115,7.44,4.43,AnaeBr00
Tremayne Anchrum,6-2,314,5.21,24.5,26,104,,,AnchTr00
Jet Anderson,5-10,208,4.61,36.0,19,128,,4.19,AndeDa03
Damon Arnette,6-0,195,4.56,,,,,,ArneDa00
Grayland Arnold,5-9,186,4.59,33.0,12,120,7.01,4.30,ArnoGr01
Devin Asiasi,6-3,257,4.73,30.5,16,115,,,AsiaDe00
Joe Bachie,6-1,230,4.67,33.5,26,119,6.93,4.34,BachJo01
Markus Bailey,6-0,235,,,15,,,,BailMa01
Trajan Bandy,5-8,180,4.50,,10,,,,BandTr01
Ben Bartch,6-6,309,,,,,,,BartBe00
Tyler Bass,5-10,185,,,,,,,BassTy00
Essang Bassey,5-9,191,4.46,39.5,12,128,6.95,4.13,BassEs01
Zack Baun,6-2,238,4.65,32.5,24,115,7.00,4.31,BaunZa00
Omar Bayless,6-1,212,4.62,36.0,11,123,7.35,4.50,BaylOm01
Mekhi Becton,6-7,364,5.10,,23,,,,BectMe00
LeVante Bellamy,5-9,192,4.50,39.5,16,125,,,BellLe02
Eno Benjamin,5-9,207,4.57,39.0,12,122,6.97,4.25,BenjEn00
Francis Bernard,6-0,234,4.81,32.5,19,120,,,BernFr01
Tyler Biadasz,6-4,314,,,,,,,BiadTy00
Daniel Bituli,6-2,246,4.84,32.0,16,121,,,BituDa01
Ross Blacklock,6-3,290,4.90,29.0,,107,7.77,4.67,BlacRo00
Julian Blackmon,6-0,187,,,,,,,BlacJu01
Rodrigo Blankenship,6-1,190,,,,,,,BlanRo03
Lynn Bowden,5-11,204,,,13,,,,BowdLy00
Shaun Bradley,6-1,235,4.51,32.5,14,121,7.07,4.24,BradSh00
Ben Bredeson,6-5,315,,,,,,,BredBe00
Jacob Breeland,6-5,252,,,,,,,BreeJa01
Jordyn Brooks,6-0,240,4.54,,,,,,BrooJo01
Cameron Brown,6-5,233,4.72,35.5,16,123,,,BrowCa01
Derrick Brown,6-5,326,5.16,27.0,28,108,8.22,4.79,BrowDe05
Tony Brown,6-1,198,4.65,33.5,14,119,7.21,4.27,BrowTo02
Harrison Bryant,6-5,243,4.73,32.5,13,110,7.41,4.37,BryaHa00
Hunter Bryant,6-2,248,4.74,32.5,23,115,7.08,4.46,BryaHu02
Kelly Bryant,6-3,229,4.69,35.0,,125,7.33,4.51,BryaKe01
Myles Bryant,5-8,183,4.62,31.5,,115,6.81,4.02,BryaMy01
Terrell Burgess,5-11,202,4.46,33.5,20,122,,,BurgTe00
Joe Burrow,6-3,221,,,,,,,BurrJo01
Cohl Cabral,6-5,300,,,20,,,,CabrCo01
Lawrence Cager,6-5,220,,,,,,,CageLa01
Raymond Calais,5-8,188,4.42,37.5,20,120,,,CalaRa00
Marquez Callaway,6-1,205,4.55,38.0,,126,,,CallMa01
Shyheim Carter,5-10,194,,,,,,,CartSh01
Quintez Cephus,6-1,202,4.73,38.5,23,124,7.20,4.33,CephQu00
K'Lavon Chaisson,6-3,254,,,,,,,ChaiKL00
Saahdiq Charles,6-4,321,5.05,,,,,,CharSa00
Joseph Charlton,6-4,195,,,,,,,CharJo01
Jeremy Chinn,6-3,221,4.45,41.0,20,138,,,ChinJe00
Cameron Clark,6-4,308,5.29,25.0,26,101,,,ClarCa00
Nevelle Clarke,6-1,190,,35.0,10,126,6.88,4.31,ClarNe00
Chase Claypool,6-4,238,4.42,40.5,19,126,,,ClayCh01
Rodney Clemons,6-0,209,4.71,33.5,21,118,,,ClemRo01
Ezra Cleveland,6-6,311,4.93,30.0,30,111,7.26,4.46,ClevEz00
Tyrie Cleveland,6-2,209,4.46,39.5,13,126,,,ClevTy00
Josiah Coatney,6-3,308,5.21,27.0,22,99,8.07,4.82,CoatJo01
Nick Coe,6-5,280,4.89,29.0,21,116,,,CoexNi01
