Player,Drafted (tm/rnd/yr),Player-additional
Jonathan Adams,,AdamJo04
Paulson Adebo,New Orleans Saints / 3rd / 76th pick / 2021,AdebPa00
Giles Amos,,-9999
Zayne Anderson,,-9999
Otis Anderson,,-9999
Jack Anderson,Buffalo Bills / 7th / 236th pick / 2021,AndeJa01
Dan Archibong,,-9999
Calvin Ashley,,AshlCa00
Jaytlin Askew,,-9999
Tutu Atwell,Los Angeles Rams / 2nd / 57th pick / 2021,AtweTu00
Kayode Awosika,,AwosKa00
Kawaan Baker,,-9999
Josh Ball,Dallas Cowboys / 4th / 138th pick / 2021,BallJo00
Aaron Banks,San Francisco 49ers / 2nd / 48th pick / 2021,BankAa00
Cole Banwart,,-9999
Christian Barmore,New England Patriots / 2nd / 38th pick / 2021,BarmCh00
Derrick Barnes,Detroit Lions / 4th / 113th pick / 2021,BarnDe02
Carlos Basham,Buffalo Bills / 2nd / 61st pick / 2021,BashCa00
Rashod Bateman,Baltimore Ravens / 1st / 27th pick / 2021,BateRa00
John Bates,,-9999
Adam Bay,,-9999
Tavante Beckett,,BeckTa00
Chase Behrndt,,-9999
Shaun Beyer,,BeyeSh00
Tarik Black,,BlacTa00
Josh Blancato,,-9999
Joshuah Bledsoe,New England Patriots / 6th / 188th pick / 2021,BledJo00
Quinton Bohanna,,-9999
Nick Bolton,Kansas City Chiefs / 2nd / 58th pick / 2021,BoltNi00
Ian Book,New Orleans Saints / 4th / 133rd pick / 2021,BookIa00
Dicaprio Bootle,,BootDi00
Tuf Borland,,BorlTu00
Larry Borom,Chicago Bears / 5th / 151st pick / 2021,BoroLa00
Rakeem Boyd,,BoydRa00
Michael Boykin,,-9999
William Bradley-King,Washington Football Team / 7th / 240th pick / 2021,BradWi00
Brady Breeze,Tennessee Titans / 6th / 215th pick / 2021,BreeBr00
Gary Brightwell,New York Giants / 6th / 196th pick / 2021,BrigGa00
K.J. Britt,Tampa Bay Buccaneers / 5th / 176th pick / 2021,BritKJ00
Josiah Bronson,,-9999
Chris Brown,,-9999
Earnest Brown,,-9999
Kimere Brown,,-9999
Deonte Brown,Carolina Panthers / 6th / 193rd pick / 2021,BrowDe06
Dyami Brown,Washington Football Team / 3rd / 82nd pick / 2021,BrowDy00
Shakur Brown,,BrowSh00
Tre Brown,Seattle Seahawks / 4th / 137th pick / 2021,BrowTr03
Amon-Ra St. Brown,Detroit Lions / 4th / 112th pick / 2021,StxxAm00
Baron Browning,Denver Broncos / 3rd / 105th pick / 2021,BrowBa01
John Brunner,,-9999
Calvin Bundage,,-9999
Lorenzo Burns,,BurnLo00
Eric Burrell,,BurrEr00
Wesley Burris,,-9999
Jake Burton,,-9999
Camryn Bynum,Minnesota Vikings / 4th / 125th pick / 2021,BynuCa00
Jalen Camp,,-9999
Donavaughn Campbell,,-9999
Kyree Campbell,,CampKy00
Tyson Campbell,Jacksonville Jaguars / 2nd / 33rd pick / 2021,CampTy01
Joseph Carlson,,-9999
Jackson Carman,Cincinnati Bengals / 2nd / 46th pick / 2021,CarmJa00
Tory Carter,,-9999
