Player,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Player-additional
Jonathan Adams,6-2,210,4.59,39.0,,132,7.04,4.38,AdamJo04
Paulson Adebo,6-1,198,4.45,36.5,18,121,6.69,4.13,AdebPa00
Giles Amos,6-3,250,5.14,28.5,,111,7.65,5.13,-9999
Zayne Anderson,,,4.46,34.0,11,120,6.78,4.22,-9999
Otis Anderson,5-7,179,4.63,36.0,11,113,7.04,4.38,-9999
Jack Anderson,6-4,314,5.28,29.5,27,105,7.90,4.83,AndeJa01
Dan Archibong,6-5,295,5.35,28.5,28,100,8.16,4.68,-9999
Calvin Ashley,6-6,314,5.49,29.0,15,105,7.00,5.10,AshlCa00
Jaytlin Askew,5-8,180,4.51,35.5,18,125,7.10,4.31,-9999
Tutu Atwell,5-8,155,4.42,33.0,,117,6.89,4.14,AtweTu00
Kayode Awosika,6-3,307,5.19,30.0,28,100,8.15,4.91,AwosKa00
Kawaan Baker,6-0,210,4.44,39.5,21,129,7.42,4.41,-9999
Josh Ball,6-7,308,5.20,27.5,28,106,7.77,4.70,BallJo00
Aaron Banks,6-5,325,5.32,31.0,24,100,7.69,4.89,BankAa00
Cole Banwart,6-1,298,5.12,27.5,22,103,7.50,4.70,-9999
Christian Barmore,6-4,310,4.93,,,,,,BarmCh00
Derrick Barnes,6-0,238,4.57,37.0,29,119,,4.27,BarnDe02
Carlos Basham,6-3,274,4.64,34.0,20,122,7.13,4.25,BashCa00
Rashod Bateman,6-0,190,4.39,36.0,,123,,,BateRa00
John Bates,6-5,250,4.84,31.5,19,120,6.85,4.35,-9999
Adam Bay,5-11,240,5.27,26.0,14,100,7.65,4.56,-9999
Tavante Beckett,5-10,220,4.78,31.0,18,106,7.34,4.58,BeckTa00
Chase Behrndt,6-3,324,5.55,24.5,25,101,8.21,4.93,-9999
Shaun Beyer,6-4,250,4.78,31.5,,119,,4.20,BeyeSh00
Tarik Black,6-2,213,4.54,40.0,15,132,6.91,4.26,BlacTa00
Josh Blancato,5-9,182,4.55,32.0,17,124,6.90,4.31,-9999
Joshuah Bledsoe,,,,,,,,,BledJo00
Quinton Bohanna,6-4,327,5.46,29.0,,99,8.21,5.15,-9999
Nick Bolton,5-11,237,4.60,32.0,24,,7.40,4.50,BoltNi00
Ian Book,6-0,211,4.65,32.5,,115,6.99,4.19,BookIa00
Dicaprio Bootle,5-9,180,4.38,36.5,16,126,6.77,4.03,BootDi00
Tuf Borland,6-0,229,4.98,32.5,15,109,7.17,4.29,BorlTu00
Larry Borom,6-5,322,5.12,31.0,,,,,BoroLa00
Rakeem Boyd,5-11,213,4.70,32.5,6,98,7.22,4.38,BoydRa00
Michael Boykin,6-5,291,4.88,32.0,24,110,7.69,4.58,-9999
William Bradley-King,6-3,252,4.74,34.5,,119,7.14,4.26,BradWi00
Brady Breeze,5-11,197,4.55,38.0,20,120,7.05,4.22,BreeBr00
Gary Brightwell,5-10,218,4.62,34.5,17,118,7.51,4.48,BrigGa00
K.J. Britt,6-0,235,4.76,32.5,24,118,7.38,4.40,BritKJ00
Josiah Bronson,6-2,304,5.08,30.0,27,101,7.63,4.72,-9999
Chris Brown,5-10,191,4.55,36.0,15,118,6.85,4.18,-9999
Earnest Brown,6-4,270,5.01,31.0,25,115,7.19,4.50,-9999
Kimere Brown,5-11,175,4.57,32.5,,124,7.37,4.32,-9999
Deonte Brown,6-3,344,,27.0,,,,,BrowDe06
Dyami Brown,6-0,189,4.46,35.0,18,128,6.87,4.35,BrowDy00
Shakur Brown,5-9,185,4.61,35.5,17,116,7.08,4.23,BrowSh00
Tre Brown,5-9,185,4.42,38.0,13,123,7.11,4.27,BrowTr03
Amon-Ra St. Brown,5-11,197,4.51,38.5,20,127,6.88,4.17,StxxAm00
Baron Browning,6-2,245,4.58,40.0,23,130,6.78,4.23,BrowBa01
John Brunner,6-2,194,,32.5,11,121,6.77,4.30,-9999
Calvin Bundage,6-1,221,4.81,31.5,14,116,7.31,4.43,-9999
Lorenzo Burns,5-10,183,4.56,33.5,14,123,7.55,4.51,BurnLo00
Eric Burrell,5-11,197,4.73,35.5,8,124,7.21,4.26,BurrEr00
Wesley Burris,5-9,203,5.30,30.0,12,102,7.51,4.74,-9999
Jake Burton,6-5,303,5.49,26.0,22,100,8.22,4.97,-9999
Camryn Bynum,6-0,196,4.58,34.0,,129,6.99,4.10,BynuCa00
Jalen Camp,6-1,226,4.48,39.5,29,125,7.00,4.14,-9999
Donavaughn Campbell,6-4,336,5.62,22.0,,93,8.34,5.15,-9999
Kyree Campbell,6-2,287,5.46,25.0,,98,7.96,5.02,CampKy00
Tyson Campbell,6-1,193,4.40,34.5,12,124,7.15,4.45,CampTy01
Joseph Carlson,6-0,175,,,,,,,-9999
Jackson Carman,6-4,317,,,,,,,CarmJa00
Tory Carter,6-0,229,4.86,35.5,24,112,7.21,4.38,-9999
Michael Carter,5-7,201,4.50,34.0,16,119,6.81,3.98,CartMi03
J.C. Chalk,6-2,250,5.18,28.5,15,106,7.83,4.72,-9999
Ja'Marr Chase,6-0,201,4.34,41.0,,132,6.96,3.99,ChasJa00
Ramaud Chiaokhiao-Bowman,6-1,204,4.78,34.5,11,119,6.78,4.20,-9999
Drue Chrisman,6-2,209,,,,,,,ChriDr00
Brady Christensen,,,,34.0,30,124,,,ChriBr00
Andre Cisco,,,,,17,,,,CiscAn00
Mallory Claybourne,5-9,191,4.57,33.0,12,116,7.37,4.32,-9999
Ben Cleveland,6-6,343,5.05,28.0,30,102,,4.88,ClevBe00
Riley Cole,6-2,240,4.72,,26,,7.46,4.35,-9999
Nico Collins,6-4,215,4.43,37.5,14,125,6.78,4.29,CollNi00
Zaven Collins,6-4,259,4.67,35.0,19,122,,4.36,CollZa00
Nolan Cooney,6-2,195,,,,,,,-9999
Jonathon Cooper,6-2,253,4.69,33.0,28,108,6.99,4.31,CoopJo02
Samuel Cosmi,6-5,314,4.87,30.0,36,117,7.35,4.39,CosmSa00
Seth Cottengim,5-11,230,,28.5,,,,,-9999
Jabril Cox,6-3,232,,,,,,,CoxxJa00
Damonte Coxie,6-2,198,4.77,30.5,4,122,6.92,4.45,CoxiDa00
Tyler Coyle,6-1,209,4.38,39.0,24,133,7.14,4.00,-9999
Jack Crane,6-1,193,,,,,,,-9999
Daniel Crawford,6-1,245,4.70,32.5,14,113,7.19,4.45,-9999
Shaun Crawford,5-9,182,4.55,35.0,12,116,6.70,4.13,-9999
Harry Crider,6-2,307,5.25,27.0,31,102,7.63,4.68,-9999
Jake Curhan,6-5,316,5.45,24.0,15,102,8.07,4.84,-9999
David Curry,6-1,227,,,,,,,CurrDa02
Drew Dalman,6-3,299,5.11,33.0,33,109,7.33,4.52,DalmDr00
DJ Daniel,5-11,195,4.62,31.0,11,119,7.02,4.12,DaniDJ00
Frank Darby,6-0,201,4.56,34.5,19,117,7.05,4.25,DarbFr00
Jaelon Darden,5-7,174,4.47,35.5,,122,6.66,3.98,DardJa00
Corey Dauphine,5-11,198,4.71,30.0,14,117,7.40,4.53,DaupCo00
Zach Davidson,6-6,245,4.58,37.5,17,117,6.95,4.19,-9999
Brady Davis,,,4.65,31.0,,114,7.06,4.20,-9999
Jamin Davis,6-3,234,4.47,42.0,,132,,,DaviJa11
Shawn Davis,5-10,202,,39.5,17,128,,,DaviSh02
Wyatt Davis,6-3,315,,,25,,,,DaviWy00
Divine Deablo,6-3,226,4.42,34.0,19,126,7.12,4.40,DeabDi00
Bryson Denley,5-7,189,4.56,27.5,13,110,7.25,4.57,-9999
Jon Dietzen,6-4,312,5.32,27.0,19,106,7.64,4.85,-9999
Victor Dimukeje,6-1,262,4.87,34.5,28,115,7.25,4.35,DimuVi00
Brett DioGuardi,6-3,234,5.48,24.5,,98,7.88,4.95,-9999
Gerrid Doaks,5-11,228,4.58,39.5,19,120,7.20,4.27,-9999
Max Duffy,6-0,196,,,,,,,-9999
DeVontres Dukes,6-3,216,4.81,33.0,16,122,7.07,4.41,-9999
Keith Duncan,,176,,,,,,,-9999
Isaiah Dunn,5-11,189,4.39,35.5,13,127,6.93,4.21,-9999
Wes Dvorak,5-11,198,4.52,41.5,,132,6.94,4.33,-9999
Brennan Eagles,6-3,225,4.55,36.5,,125,6.93,4.42,EaglBr00
Adrian Ealy,6-6,321,5.42,24.5,18,104,8.82,4.87,EalyAd00
Brandin Echols,5-10,179,4.34,42.5,13,136,6.84,4.12,-9999
Sam Ehlinger,6-1,220,4.84,36.5,,114,7.15,4.44,EhliSa00
Liam Eichenberg,6-6,306,,26.5,33,105,7.53,4.58,EichLi00
Milo Eifler,6-2,228,4.58,37.5,14,126,7.15,4.35,-9999
D'Wayne Eskridge,5-8,190,4.38,35.0,,124,6.93,4.22,EskrDW00
Dorian Etheridge,6-1,233,4.87,35.0,,121,7.25,4.47,EtheDo00
Travis Etienne,5-10,215,4.45,33.5,18,128,,,EtieTr00
Chris Evans,5-11,211,4.50,40.5,20,127,6.83,4.12,EvanCh02
Dillon Faamatau,6-3,280,5.35,24.5,22,100,8.58,5.15,-9999
Austin Faoliu,6-3,287,,,,,,,FaolAu00
Matt Farniok,6-5,311,5.20,33.0,28,105,7.14,4.80,-9999
Luke Farrell,6-5,251,4.79,36.5,22,118,7.14,4.36,FarrLu00
Simi Fehoko,6-3,222,4.44,34.5,16,120,6.78,4.26,FehoSi00
Demetric Felton,5-8,189,4.55,,,,,,FeltDe00
Parker Ferguson,6-3,306,5.19,31.0,24,105,7.75,4.90,-9999
Justin Fields,6-2,227,4.45,,,,,,FielJu00
Tony Fields,6-0,222,4.64,34.0,17,114,7.15,4.48,FielTo00
Paddy Fisher,6-3,240,4.91,31.5,20,110,7.00,4.47,FishPa00
Dez Fitzpatrick,6-1,208,4.43,35.0,,,7.09,4.26,FitzDe00
Thomas Fletcher,,,,,,,,,-9999
Paris Ford,6-0,197,4.85,28.5,,110,7.44,4.45,FordPa01
Darrick Forrest,5-11,206,4.42,39.0,21,132,6.91,4.23,ForrDa00
Miller Forristall,,,,,,,,,ForrMi00
Stone Forsythe,6-8,307,5.14,27.5,25,103,7.47,4.65,ForsSt00
Feleipe Franks,6-6,234,4.61,32.5,,117,7.16,4.22,FranFe00
Pat Freiermuth,6-5,251,,,26,,,,FreiPa00
Will Fries,6-6,309,5.37,31.0,24,115,7.77,4.53,FrieWi00
Jake Funk,5-10,204,4.49,38.0,22,122,6.71,4.12,FunkJa00
Kenneth Gainwell,,201,4.42,,21,,,,GainKe00
Bailey Gaither,6-0,188,4.45,31.0,9,121,7.07,4.39,-9999
