Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,-9999
1,1,JAX,Travon Walker,DE,21,2022,0,0,1,6,6,15,0,0,0,0,0,0,0,0,0,0,0,24,1,3.5,WalkTr03
1,2,DET,Aidan Hutchinson,DE,22,2022,0,0,1,8,8,17,0,0,0,0,0,0,0,0,0,0,0,34,3,9.5,HutcAi00
1,3,HOU,Derek Stingley Jr.,CB,21,2022,0,0,1,3,3,9,0,0,0,0,0,0,0,0,0,0,0,35,1,1.0,StinDe00
1,4,NYJ,Sauce Gardner,CB,22,2022,1,1,1,14,14,17,0,0,0,0,0,0,0,0,0,0,0,51,2,,GardSa00
1,5,NYG,Kayvon Thibodeaux,DE,21,2022,0,0,1,7,7,14,0,0,0,0,0,0,0,0,0,0,0,33,,4.0,ThibKa00
1,6,CAR,Ikem Ekwonu,T,21,2022,0,0,1,7,7,17,0,0,0,0,0,0,0,0,0,0,0,,,,EkwoIk00
1,7,NYG,Evan Neal,OL,21,2022,0,0,1,6,6,13,0,0,0,0,0,0,0,0,0,0,0,1,,,NealEv00
1,8,ATL,Drake London,WR,21,2022,0,0,1,9,9,17,0,0,0,0,0,0,0,0,72,866,4,2,,,LondDr00
1,9,SEA,Charles Cross,OL,21,2022,0,0,1,9,9,17,0,0,0,0,0,0,0,0,0,0,0,,,,CrosCh00
1,10,NYJ,Garrett Wilson,WR,22,2022,0,0,1,8,8,17,0,1,0,0,0,4,4,0,83,1103,4,1,,,WilsGa00
1,11,NOR,Chris Olave,WR,22,2022,0,0,1,8,8,15,0,0,0,0,0,0,0,0,72,1042,4,3,,,OlavCh00
1,12,DET,Jameson Williams,WR,21,2022,0,0,0,1,1,6,0,0,0,0,0,1,40,0,1,41,1,,,,WillJa11
1,13,PHI,Jordan Davis,DT,22,2022,0,0,0,3,3,13,0,0,0,0,0,0,0,0,0,0,0,8,,,DaviJo03
1,14,BAL,Kyle Hamilton,S,21,2022,0,0,0,2,2,16,0,0,0,0,0,0,0,0,0,0,0,46,,2.0,HamiKy00
1,15,HOU,Kenyon Green,OL,21,2022,0,0,1,5,5,15,0,0,0,0,0,0,0,0,0,0,0,,,,GreeKe03
1,16,WAS,Jahan Dotson,WR,22,2022,0,0,1,4,4,12,0,0,0,0,0,2,-7,0,35,523,7,2,,,DotsJa00
1,17,LAC,Zion Johnson,G,22,2022,0,0,1,8,8,17,0,0,0,0,0,0,0,0,0,0,0,,,,JohnZi00
1,18,TEN,Treylon Burks,WR,22,2022,0,0,0,4,4,11,0,0,0,0,0,4,47,0,33,444,1,,,,BurkTr00
1,19,NOR,Trevor Penning,T,23,2022,0,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,,,,PennTr00
1,20,PIT,Kenny Pickett,QB,24,2022,0,0,1,7,7,13,245,389,2404,7,9,55,237,3,0,0,0,2,,,PickKe00
1,21,KAN,Trent McDuffie,CB,21,2022,0,0,1,3,3,11,0,0,0,0,0,0,0,0,0,0,0,28,,1.0,McDuTr00
1,22,GNB,Quay Walker,LB,22,2022,0,0,1,7,7,17,0,0,0,0,0,0,0,0,0,0,0,75,,1.5,WalkQu00
1,23,BUF,Kaiir Elam,CB,21,2022,0,0,0,3,3,13,0,0,0,0,0,0,0,0,0,0,0,29,2,,ElamKa00
1,24,DAL,Tyler Smith,OL,21,2022,0,0,1,8,8,17,0,0,0,0,0,0,0,0,0,0,0,1,,,SmitTy02
1,25,BAL,Tyler Linderbaum,OL,22,2022,0,0,1,7,7,17,0,0,0,0,0,0,0,0,0,0,0,,,,LindTy00
1,26,NYJ,Jermaine Johnson II,LB,23,2022,0,0,0,1,1,14,0,0,0,0,0,0,0,0,0,0,0,18,,2.5,JohnJe07
1,27,JAX,Devin Lloyd,LB,23,2022,0,0,1,8,8,17,0,0,0,0,0,0,0,0,0,0,0,59,3,,LloyDe00
1,28,GNB,Devonte Wyatt,DT,24,2022,0,0,0,1,1,16,0,0,0,0,0,0,0,0,0,0,0,8,,1.5,WyatDe00
1,29,NWE,Cole Strange,OL,24,2022,0,0,1,7,7,17,0,0,0,0,0,0,0,0,0,0,0,1,,,StraCo01
1,30,KAN,George Karlaftis III,DE,21,2022,0,0,1,7,7,17,0,0,0,0,0,0,0,0,0,0,0,18,,6.0,KarlGe00
1,31,CIN,Daxton Hill,DB,21,2022,0,0,0,2,2,15,0,0,0,0,0,0,0,0,0,0,0,11,,,HillDa04
1,32,MIN,Lewis Cine,DB,22,2022,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,CineLe00
2,33,TAM,Logan Hall,DE,22,2022,0,0,0,2,2,17,0,0,0,0,0,0,0,0,0,0,0,7,,2.5,HallLo00
2,34,GNB,Christian Watson,WR,23,2022,0,0,1,7,7,14,0,0,0,0,0,7,80,2,41,611,7,,,,WatsCh00
2,35,TEN,Roger McCreary,CB,22,2022,0,0,1,6,6,17,0,0,0,0,0,0,0,0,0,0,0,70,1,,McCrRo01
2,36,NYJ,Breece Hall,RB,21,2022,0,0,0,4,4,7,0,0,0,0,0,80,463,4,19,218,1,1,,,HallBr03
