Player,Pos,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Player-additional
Israel Abanikanda,RB,5-10,216,,,,,,,AbanIs00
Yasir Abdullah,LB,6-1,237,4.47,36.5,,129,,,AbduYa00
Devon Achane,RB,5-9,188,4.32,33.0,,,,,AchaDe00
Jordan Addison,WR,5-11,173,4.49,34.0,,122,,,AddiJo00
Adetomiwa Adebawore,DE,6-2,282,4.49,37.5,27,125,,,AdebAd00
Alan Ali,C,6-4,301,,26.5,,,,,-9999
Davis Allen,TE,6-6,245,,38.5,,125,,,AlleDa02
MJ Anderson,DE,6-3,269,,33.0,,,,,AndeMJ00
Jake Andrews,C,6-3,305,5.15,26.0,,102,,4.73,AndrJa00
Felix Anudike-Uzomah,EDGE,6-3,255,,,,,,,AnudFe00
Malaesala Aumavae-Laulu,OT,6-6,317,5.23,28.5,,106,7.65,4.75,AumaMa00
Alex Austin,CB,6-1,195,4.55,33.0,,122,,4.33,AustAl00
Steve Avila,OG,6-4,332,5.21,29.5,,98,7.85,4.74,-9999
Tyson Bagent,QB,6-3,213,4.79,36.0,,120,6.95,4.36,-9999
Henry Bainivalu,OG,6-6,306,5.50,28.0,,101,8.34,4.97,BainHe00
Habakkuk Baldonado,EDGE,6-4,251,4.78,35.0,21,120,7.11,4.44,BaldHa00
Deonte Banks,CB,6-0,197,4.35,42.0,,136,,,BankDe00
Jeremy Banks,LB,6-1,232,4.53,37.5,25,127,7.27,4.38,BankJe00
Bryce Baringer,P,6-2,216,,,,,,,BariBr00
Micah Baskerville,LB,6-1,221,,31.0,,115,,,BaskMi00
TJ Bass,OG,6-4,317,5.48,28.5,,109,,,-9999
Jordan Battle,DB,6-1,209,4.55,,17,,,,BattJo00
Robert Beal,EDGE,6-4,247,4.48,30.0,,123,,,BealRo00
Ronnie Bell,WR,6-0,191,4.54,38.5,14,120,6.98,4.15,BellRo01
Jakorian Bennett,CB,5-11,188,4.30,40.5,13,133,,,BennJa00
Stetson Bennett,QB,5-11,192,4.67,33.5,,118,,4.20,BennSt00
Keeanu Benton,DT,6-4,309,5.08,29.5,25,111,7.34,4.65,BentKe00
Matthew Bergeron,OT,6-5,318,,30.5,,103,,,BergMa00
Tank Bigsby,RB,6-0,210,4.56,32.5,,119,,,BigsTa00
Mekhi Blackmon,CB,5-11,178,4.47,36.0,11,125,,,BlacMe00
Jake Bobo,WR,6-4,206,,,,,,,BoboJa00
Kayshon Boutte,WR,5-11,195,4.50,29.0,,118,,4.25,BoutKa00
Lance Boykin,CB,6-2,200,,,13,124,,,BoykLa00
Anthony Bradford,OG,6-4,332,5.08,30.0,,106,7.84,4.80,BradAn00
Brian Branch,CB,6-0,190,4.58,34.5,14,125,,,BranBr00
