Player,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Player-additional,Rnd,Pick,Tm,Pos,Age,To,1st_Team_AllPro,Pro_Bowl,Years_As_Starter,Weighted_Aprox_Value,DrAV,G,Pass_Completed,Pass_Attempts,Pass_Yards,Pass_TDs,Interceptions_Thrown,Rush_Attempts,Rush_Yards,Rush_TDs,Receptions,Receiving_Yards,Receiving_Touchdowns,Solo_Tackles,Interceptions,Sack,-9999
Tyler Allgeier,5-11,224.0,4.6,33.0,23.5,120.0,,,AllgTy00,5.0,151.0,ATL,RB,22.0,2022.0,0.0,0.0,0.0,8.0,8.0,16.0,0.0,0.0,0.0,0.0,0.0,210.0,1035.0,3.0,16.0,139.0,1.0,2.0,,,AllgTy00
Troy Andersen,6-4,243.0,4.42,36.0,23.75,128.0,7.03,4.326666666666667,AndeTr00,2.0,58.0,ATL,LB,23.0,2022.0,0.0,0.0,0.0,3.0,3.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,,,AndeTr00
Tycen Anderson,6-2,209.0,4.36,35.5,19.0,123.0,6.64,4.28,AndeTy00,5.0,166.0,CIN,S,23.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,AndeTy00
Matt Araiza,6-1,200.0,4.68,32.0,,121.0,,,AraiMa00,6.0,180.0,BUF,P,22.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,AraiMa00
Jalyn Armour-Davis,6-1,197.0,4.39,34.5,14.0,127.44444444444444,6.686666666666667,4.08,ArmoJa00,4.0,119.0,BAL,DB,23.0,2022.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,,,ArmoJa00
Brian Asamoah,6-0,226.0,4.56,36.5,23.75,124.0,7.03,4.326666666666667,AsamBr00,3.0,66.0,MIN,LB,22.0,2022.0,0.0,0.0,0.0,1.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,,,AsamBr00
Calvin Austin,5-8,170.0,4.32,39.0,,135.0,6.65,4.07,AustCa00,4.0,138.0,PIT,WR,23.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,AustCa00
Tyler Badie,5-8,197.0,4.45,33.5,23.5,121.0,,,BadiTy00,6.0,196.0,BAL,RB,22.0,2022.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,24.0,1.0,,,,BadiTy00
Kalon Barnes,6-0,183.0,4.23,37.5,17.0,121.0,,,BarnKa00,7.0,242.0,CAR,CB,23.0,2022.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,BarnKa00
Darrian Beavers,6-4,237.0,4.563529411764705,36.5,23.75,125.0,6.91,4.326666666666667,BeavDa00,6.0,182.0,NYG,LB,23.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,BeavDa00
