Player,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Player-additional,Rnd,Pick,Tm,Pos,Age,To,1st_Team_AllPro,Pro_Bowl,Years_As_Starter,Weighted_Aprox_Value,DrAV,G,Pass_Completed,Pass_Attempts,Pass_Yards,Pass_TDs,Interceptions_Thrown,Rush_Attempts,Rush_Yards,Rush_TDs,Receptions,Receiving_Yards,Receiving_Touchdowns,Solo_Tackles,Interceptions,Sack,-9999
Johnathan Abram,11-May,205,4.45,36.5,18.28571429,116,6.917272727,4.154615385,AbraJo01,1,27,OAK,S,22,2022,0,0,2,11,10,43,0,0,0,0,0,0,0,0,0,0,0,167,3,,AbraJo01
Nasir Adderley,Jun-00,206,4.5021875,36.5,18.28571429,124.4516129,6.917272727,4.154615385,AddeNa00,2,60,LAC,S,22,2022,0,0,3,13,13,50,0,0,0,0,0,0,0,0,0,0,0,168,3,0.5,AddeNa00
Dakota Allen,1-Jun,232,4.77,31.5,23,116,6.88,4.04,AlleDa01,7,251,LAR,LB,23,2022,0,0,0,2,,38,0,0,0,0,0,0,0,0,0,0,0,19,,,AlleDa01
Josh Allen,5-Jun,262,4.63,35.16666667,28,118,7.15,4.23,AlleJo03,1,7,JAX,LB,22,2022,0,1,3,23,23,57,0,0,0,0,0,0,0,0,0,0,0,119,1,27.5,AlleJo03
Zach Allen,4-Jun,281,5,32,24,112,7.34,4.36,AlleZa01,3,65,ARI,DE,22,2022,0,0,3,16,16,45,0,0,0,0,0,0,0,0,0,0,0,79,1,11.5,AlleZa01
Ugo Amadi,9-May,199,4.51,32.5,18,115,7.21,4.19,AmadUg00,4,132,SEA,S,22,2022,0,0,1,6,6,50,0,0,0,0,0,0,0,0,0,0,0,106,1,,AmadUg00
Rodney Anderson,Jun-00,224,4.524375,35.0326087,25,121.4186047,7.099032258,4.282903226,AndeRo02,6,211,CIN,RB,22,,0,0,0,,,,,,,,,,,,,,,,,,AndeRo02
Ryquell Armstead,11-May,220,4.45,30,22,114,7.02,4.29,ArmsRy00,5,140,JAX,RB,22,2021,0,0,0,2,2,18,0,0,0,0,0,50,188,0,17,160,2,1,,,ArmsRy00
Blessuan Austin,1-Jun,198,4.4786,37.36363636,15,126.1860465,6.946451613,4.165806452,AustBl00,6,196,NYJ,CB,23,2021,0,0,1,6,5,29,0,0,0,0,0,0,0,0,0,0,0,77,,,AustBl00
Jake Bailey,1-Jun,200,4.72,33,,117,7.03,4.13,BailJa00,5,163,NWE,P,22,2022,1,1,1,7,7,58,0,0,0,0,0,0,0,0,0,0,0,4,,,BailJa00
Deandre Baker,11-May,193,4.52,37.36363636,14,118,6.946451613,4.165806452,BakeDe00,1,30,NYG,CB,22,2021,0,0,1,6,5,26,0,0,0,0,0,0,0,0,0,0,0,65,,1,BakeDe00
Corey Ballentine,11-May,196,4.47,39.5,15,135,6.82,4.14,BallCo00,6,180,NYG,CB,23,2022,0,0,0,2,2,40,0,0,0,0,0,0,0,0,0,0,0,42,,,BallCo00
Ben Banogu,3-Jun,250,4.62,40,23,134,7.02,4.27,BanoBe00,2,49,IND,LB,23,2022,0,0,0,4,4,50,0,0,0,0,0,0,0,0,0,0,0,13,,2.5,BanoBe00
Cody Barton,2-Jun,237,4.64,32.5,30,116,6.9,4.03,BartCo00,3,88,SEA,LB,22,2022,0,0,1,10,10,65,0,0,0,0,0,0,0,0,0,0,0,140,2,2,BartCo00
Jackson Barton,7-Jun,310,5.18,27,25,109,7.85,4.66,BartJa00,7,240,IND,T,24,2022,0,0,0,0,,8,0,0,0,0,0,0,0,0,0,0,0,,,,BartJa00
Terry Beckner,4-Jun,296,5.19,24.5,28,98,7.97,4.82,BeckTe00,7,215,TAM,DT,22,,0,0,0,,,,,,,,,,,,,,,,,,BeckTe00
Marquise Blair,1-Jun,195,4.48,35,18.28571429,125,6.917272727,4.154615385,BlaiMa01,2,47,SEA,S,22,2022,0,0,0,2,2,25,0,0,0,0,0,0,0,0,0,0,0,34,,,BlaiMa01
Nick Bosa,4-Jun,266,4.79,33.5,29,116,7.1,4.14,BosaNi00,1,2,SFO,DE,21,2022,1,3,3,41,41,51,0,0,0,0,0,0,0,0,0,0,0,116,1,43,BosaNi00
Kris Boyd,11-May,201,4.45,36.5,19,127,6.94,4.08,BoydKr00,7,217,MIN,CB,22,2022,0,0,0,6,6,58,0,0,0,0,0,0,0,0,0,0,0,73,,,BoydKr00
Miles Boykin,4-Jun,220,4.42,43.5,12,140,6.77,4.07,BoykMi00,3,93,BAL,WR,22,2022,0,0,2,6,6,56,0,0,0,0,0,0,0,0,35,481,7,11,,,BoykMi00
Garrett Bradbury,3-Jun,306,4.92,31,34,104,7.41,4.53,BradGa00,1,18,MIN,C,24,2022,0,0,4,23,23,57,0,0,0,0,0,0,0,0,2,17,0,1,,,BradGa00
